"Control_1" "Control_2" "ToxA_1" "ToxA_2" "ToxB_1" "ToxB_2"
"HGLibA_32858" 0 5 0 3 0 0
"HGLibA_32859" 20 8 0 0 0 0
"HGLibA_32860" 7 0 0 0 1 1
"HGLibA_32861" 25 7 0 1 4 0
"HGLibA_32862" 1 0 3 8 6 6
"HGLibA_32863" 0 3 0 0 0 0
"HGLibA_32864" 2 0 5 7 0 1
"HGLibA_32865" 0 0 0 0 0 0
"HGLibA_32866" 1 0 0 0 0 0
"HGLibA_32867" 18 0 0 0 0 0
"HGLibA_32868" 4 4 0 0 0 0
"HGLibA_32869" 0 3 0 0 0 0
"HGLibA_32870" 4 0 0 0 0 0
"HGLibA_32871" 2 2 0 0 0 0
"HGLibA_32872" 4 0 0 0 0 0
"HGLibA_32873" 7 8 0 2 0 0
"HGLibA_32874" 1 0 0 0 1 0
"HGLibA_32875" 0 0 0 0 0 0
"HGLibA_32876" 5 0 0 0 1 1
"HGLibA_32877" 0 0 0 0 1 0
"HGLibA_32878" 1 8 0 0 0 0
"HGLibA_32879" 9 0 0 1 0 0
"HGLibA_32880" 10 2 0 0 0 0
"HGLibA_32881" 1 0 0 0 0 0
"HGLibA_32882" 0 0 0 0 0 0
"HGLibA_32883" 0 1 0 0 0 0
"HGLibA_32884" 0 0 0 0 0 0
"HGLibA_32885" 1 0 0 0 0 1
"HGLibA_32886" 1 0 0 0 0 1
"HGLibA_32887" 6 29 0 0 0 0
"HGLibA_32888" 1 4 1 4 0 0
"HGLibA_32889" 0 7 1 2 3 4
"HGLibA_32890" 0 0 0 0 0 0
"HGLibA_32891" 0 0 0 0 0 0
"HGLibA_32892" 13 1 39 21 0 0
"HGLibA_32893" 20 1 14 14 2 5
"HGLibA_32894" 0 0 0 0 0 0
"HGLibA_32895" 0 0 0 0 0 0
"HGLibA_32896" 2 1 0 0 0 0
"HGLibA_32897" 0 0 0 0 0 0
"HGLibA_32898" 1 0 0 0 0 0
"HGLibA_32899" 2 0 0 1 0 0
"HGLibA_32900" 3 2 0 0 0 0
"HGLibA_32901" 3 0 0 0 0 0
"HGLibA_32902" 1 3 7 13 1 0
"HGLibA_32903" 1 0 1 0 0 1
"HGLibA_32904" 0 0 0 0 0 0
"HGLibA_32905" 0 0 0 2 0 0
"HGLibA_32906" 0 14 3 0 0 0
"HGLibA_32907" 1 0 0 0 1 3
"HGLibA_32908" 0 3 0 0 0 0
"HGLibA_32909" 0 2 7 4 0 0
"HGLibA_32910" 0 2 2 0 1 4
"HGLibA_32911" 0 1 0 0 0 0
"HGLibA_32912" 0 0 0 0 0 0
"HGLibA_32913" 0 1 0 0 0 0
"HGLibA_32914" 2 0 0 0 0 0
"HGLibA_32915" 1 1 0 1 3 0
"HGLibA_32916" 0 0 0 0 0 0
"HGLibA_32917" 2 1 0 0 0 0
"HGLibA_32918" 0 4 0 0 0 0
"HGLibA_32919" 0 0 0 0 0 0
"HGLibA_32920" 0 0 4 1 0 0
"HGLibA_32921" 13 2 0 0 0 0
"HGLibA_32922" 0 0 0 0 0 0
"HGLibA_32923" 2 3 5 8 0 0
"HGLibA_32924" 9 3 0 0 0 0
"HGLibA_32925" 1 0 0 0 0 0
"HGLibA_32926" 1 3 16 20 1 1
"HGLibA_32927" 0 0 0 0 0 0
"HGLibA_32928" 1 2 0 0 1 0
"HGLibA_32929" 5 1 0 0 0 0
"HGLibA_32930" 2 0 0 0 0 0
"HGLibA_32931" 0 5 0 6 0 0
"HGLibA_32932" 2 7 0 0 0 1
"HGLibA_32933" 6 0 0 0 0 0
"HGLibA_32934" 14 5 0 0 0 0
"HGLibA_32935" 0 0 0 0 0 0
"HGLibA_32936" 0 2 0 0 0 0
"HGLibA_32937" 3 0 0 0 0 0
"HGLibA_32938" 0 2 0 0 0 0
"HGLibA_32939" 0 3 0 2 0 0
"HGLibA_32940" 0 1 0 0 1 1
"HGLibA_32941" 0 0 0 2 0 1
"HGLibA_32942" 0 0 0 0 0 0
"HGLibA_32943" 0 0 2 9 0 1
"HGLibA_32944" 12 40 0 0 0 0
"HGLibA_32945" 0 0 0 0 0 0
"HGLibA_32946" 5 0 0 0 0 0
"HGLibA_32947" 0 0 0 0 0 0
"HGLibA_32948" 3 8 0 0 0 0
"HGLibA_32949" 0 0 0 0 0 0
"HGLibA_32950" 2 3 0 0 0 0
"HGLibA_32951" 1 13 0 5 0 0
"HGLibA_32952" 1 0 3 2 0 6
"HGLibA_32953" 2 0 0 0 0 0
"HGLibA_32954" 0 0 0 0 1 1
"HGLibA_32955" 0 0 0 0 0 0
"HGLibA_32956" 0 5 0 0 0 0
"HGLibA_32957" 1 0 0 0 0 0
"HGLibA_32958" 0 5 0 0 1 0
"HGLibA_32959" 0 0 0 0 0 0
"HGLibA_32960" 0 5 2 3 0 0
"HGLibA_32961" 21 1 0 0 0 0
"HGLibA_32962" 12 9 0 0 0 0
"HGLibA_32963" 0 2 0 0 1 0
"HGLibA_32964" 0 0 0 0 0 0
"HGLibA_32965" 0 1 0 0 0 0
"HGLibA_32966" 0 0 453 360 22 17
"HGLibA_32967" 6 0 43 47 1 2
"HGLibA_32968" 3 2 1 0 0 2
"HGLibA_32969" 0 0 9 9 0 0
"HGLibA_32970" 0 1 0 0 0 0
"HGLibA_32971" 1 0 0 0 0 2
"HGLibA_32972" 0 0 20 12 0 0
"HGLibA_32973" 3 0 0 0 0 0
"HGLibA_32974" 0 2 0 0 0 0
"HGLibA_32975" 0 1 85 76 6 2
"HGLibA_32976" 0 1 0 0 0 0
"HGLibA_32977" 0 0 19 16 0 0
"HGLibA_32978" 3 12 1 0 0 1
"HGLibA_32979" 1 0 0 0 0 0
"HGLibA_32980" 0 0 0 0 0 0
"HGLibA_32981" 1 7 0 0 0 0
"HGLibA_32982" 4 0 0 1 0 0
"HGLibA_32983" 0 0 0 0 0 0
"HGLibA_32984" 0 19 0 11 1 4
"HGLibA_32985" 2 9 0 0 0 0
"HGLibA_32986" 1 4 0 3 0 0
"HGLibA_32987" 0 0 1 1 0 0
"HGLibA_32988" 1 0 0 0 0 0
"HGLibA_32989" 0 0 0 0 0 0
"HGLibA_32990" 11 0 0 0 1 0
"HGLibA_32991" 4 5 0 0 0 0
"HGLibA_32992" 1 0 0 0 0 0
"HGLibA_32993" 6 2 0 0 0 0
"HGLibA_32994" 17 67 0 0 0 0
"HGLibA_32995" 5 0 0 0 0 0
"HGLibA_32996" 0 0 0 0 1 1
"HGLibA_32997" 0 0 0 0 0 0
"HGLibA_32998" 3 3 0 0 0 0
"HGLibA_32999" 0 0 4 2 0 0
"HGLibA_33000" 0 3 0 0 0 1
"HGLibA_33001" 0 3 0 0 0 0
"HGLibA_33002" 0 3 8 7 0 0
"HGLibA_33003" 0 0 0 0 0 0
"HGLibA_33004" 0 1 0 0 0 0
"HGLibA_33005" 0 0 0 1 0 0
"HGLibA_33006" 1 6 1 1 0 0
"HGLibA_33007" 4 1 0 0 1 0
"HGLibA_33008" 0 3 0 0 0 0
"HGLibA_33009" 0 0 0 3 0 0
"HGLibA_33010" 0 0 0 0 0 0
"HGLibA_33011" 0 14 1 1 0 0
"HGLibA_33012" 1 0 0 0 0 0
"HGLibA_33013" 0 2 0 0 3 0
"HGLibA_33014" 2 0 0 0 0 0
"HGLibA_33015" 0 0 1 1 3 1
"HGLibA_33016" 1 0 3 8 2 2
"HGLibA_33017" 1 2 0 0 265 282
"HGLibA_33018" 0 0 0 0 0 0
"HGLibA_33019" 0 4 0 0 0 0
"HGLibA_33020" 0 0 0 1 0 0
"HGLibA_33021" 1 0 0 0 0 0
"HGLibA_33022" 0 1 0 0 0 0
"HGLibA_33023" 0 0 1 0 1 0
"HGLibA_33024" 3 0 0 0 0 0
"HGLibA_33025" 1 0 0 0 0 0
"HGLibA_33026" 1 0 0 0 0 0
"HGLibA_33027" 0 2 0 0 0 0
"HGLibA_33028" 0 0 0 0 0 0
"HGLibA_33029" 0 0 0 0 0 0
"HGLibA_33030" 8 3 0 0 0 0
"HGLibA_33031" 0 0 0 1 0 2
"HGLibA_33032" 0 1 0 0 0 0
"HGLibA_33033" 0 14 0 0 0 0
"HGLibA_33034" 0 0 1 1 0 4
"HGLibA_33035" 0 11 4 2 3 10
"HGLibA_33036" 0 0 0 0 0 0
"HGLibA_33037" 0 0 0 0 0 0
"HGLibA_33038" 0 2 1 1 2 2
"HGLibA_33039" 0 14 0 0 1 0
"HGLibA_33040" 0 3 0 0 0 0
"HGLibA_33041" 0 0 0 1 6 1
"HGLibA_33042" 0 3 0 0 0 0
"HGLibA_33043" 0 9 0 0 23 40
"HGLibA_33044" 7 2 0 0 0 0
"HGLibA_33045" 5 0 0 0 0 0
"HGLibA_33046" 5 1 0 2 1 0
"HGLibA_33047" 2 0 0 5 0 0
"HGLibA_33048" 0 0 0 0 0 0
"HGLibA_33049" 0 0 0 0 0 0
"HGLibA_33050" 3 1 0 0 1 0
"HGLibA_33051" 0 0 35 21 1 0
"HGLibA_33052" 0 2 0 1 0 0
"HGLibA_33053" 0 0 0 0 71 83
"HGLibA_33054" 22 1 0 0 0 0
"HGLibA_33055" 2 1 0 0 0 0
"HGLibA_33056" 6 0 0 0 0 0
"HGLibA_33057" 0 1 0 0 0 0
"HGLibA_33058" 1 0 0 7 0 0
"HGLibA_33059" 0 3 0 0 0 0
"HGLibA_33060" 0 3 0 0 0 0
"HGLibA_33061" 1 1 0 0 0 0
"HGLibA_33062" 3 0 1 1 1 1
"HGLibA_33063" 0 0 0 0 0 0
"HGLibA_33064" 0 0 0 0 0 0
"HGLibA_33065" 1 0 0 0 0 0
"HGLibA_33066" 5 0 0 0 0 0
"HGLibA_33067" 0 4 0 0 0 0
"HGLibA_33068" 0 0 0 0 0 0
"HGLibA_33069" 0 2 0 0 0 0
"HGLibA_33070" 1 33 0 0 0 1
"HGLibA_33071" 19 19 0 11 0 0
"HGLibA_33072" 0 4 0 0 0 0
"HGLibA_33073" 0 0 0 0 0 0
"HGLibA_33074" 0 0 14 15 2 0
"HGLibA_33075" 3 1 0 0 0 0
"HGLibA_33076" 13 1 0 0 0 0
"HGLibA_33077" 5 0 0 0 0 0
"HGLibA_33078" 32 2 0 0 0 0
"HGLibA_33079" 0 0 0 0 0 0
"HGLibA_33080" 2 4 0 0 0 0
"HGLibA_33081" 0 0 0 0 0 0
"HGLibA_33082" 2 0 0 0 0 0
"HGLibA_33083" 0 4 0 0 0 0
"HGLibA_33084" 0 0 0 0 0 0
"HGLibA_33085" 3 0 27 16 3 1
"HGLibA_33086" 0 6 6 2 3 3
"HGLibA_33087" 0 0 0 0 0 0
"HGLibA_33088" 1 6 1 1 0 0
"HGLibA_33089" 0 0 0 0 0 0
"HGLibA_33090" 0 2 0 0 0 0
"HGLibA_33091" 0 0 3 1 0 0
"HGLibA_33092" 0 0 0 0 0 0
"HGLibA_33093" 3 0 0 0 0 0
"HGLibA_33094" 0 4 0 0 0 0
"HGLibA_33095" 0 6 0 0 0 0
"HGLibA_33096" 29 2 0 0 0 1
"HGLibA_33097" 0 0 0 0 0 0
"HGLibA_33098" 1 2 0 0 0 0
"HGLibA_33099" 1 0 0 0 0 0
"HGLibA_33100" 0 4 6 16 8 3
"HGLibA_33101" 0 0 0 0 0 0
"HGLibA_33102" 0 0 0 0 0 0
"HGLibA_33103" 0 0 0 0 0 0
"HGLibA_33104" 7 0 0 0 0 0
"HGLibA_33105" 0 3 0 0 0 0
"HGLibA_33106" 0 0 0 0 0 0
"HGLibA_33107" 0 0 0 0 0 0
"HGLibA_33108" 0 0 0 0 0 0
"HGLibA_33109" 0 0 0 0 0 0
"HGLibA_33110" 0 0 0 0 0 0
"HGLibA_33111" 0 0 0 0 0 0
"HGLibA_33112" 0 0 0 0 0 0
"HGLibA_33113" 0 0 0 0 0 0
"HGLibA_33114" 0 0 0 0 0 0
"HGLibA_33115" 0 0 0 0 0 0
"HGLibA_33116" 0 0 0 0 0 0
"HGLibA_33117" 0 0 0 0 0 0
"HGLibA_33118" 0 0 0 0 0 0
"HGLibA_33119" 0 0 0 0 0 0
"HGLibA_33120" 7 0 0 0 0 0
"HGLibA_33121" 8 3 0 0 0 0
"HGLibA_33122" 0 5 0 0 0 0
"HGLibA_33123" 1 0 0 0 0 0
"HGLibA_33124" 0 21 0 0 0 0
"HGLibA_33125" 0 0 0 0 0 0
"HGLibA_33126" 8 8 0 0 0 0
"HGLibA_33127" 7 12 0 0 0 0
"HGLibA_33128" 0 0 0 0 0 0
"HGLibA_33129" 0 0 0 0 0 0
"HGLibA_33130" 0 0 0 0 0 0
"HGLibA_33131" 0 0 0 0 0 0
"HGLibA_33132" 0 0 0 0 0 0
"HGLibA_33133" 0 0 0 0 0 0
"HGLibA_33134" 5 11 0 5 0 1
"HGLibA_33135" 1 0 0 0 0 0
"HGLibA_33136" 0 2 0 0 0 0
"HGLibA_33137" 6 1 0 0 0 0
"HGLibA_33138" 12 3 0 1 0 0
"HGLibA_33139" 2 0 0 0 1 1
"HGLibA_33140" 1 5 0 0 1 0
"HGLibA_33141" 0 3 0 0 0 0
"HGLibA_33142" 0 0 0 0 0 0
"HGLibA_33143" 0 0 0 0 0 0
"HGLibA_33144" 0 1 0 0 0 0
"HGLibA_33145" 0 0 0 0 0 0
"HGLibA_33146" 0 28 0 0 0 0
"HGLibA_33147" 1 0 0 0 0 0
"HGLibA_33148" 0 2 10 5 0 0
"HGLibA_33149" 0 13 0 1 0 0
"HGLibA_33150" 0 0 0 0 0 1
"HGLibA_33151" 0 0 1 0 2 2
"HGLibA_33152" 6 4 0 1 0 0
"HGLibA_33153" 0 0 22 17 0 0
"HGLibA_33154" 10 0 0 0 0 0
"HGLibA_33155" 0 0 0 0 0 0
"HGLibA_33156" 6 9 0 0 0 0
"HGLibA_33157" 0 0 0 8 1 0
"HGLibA_33158" 5 0 0 0 0 1
"HGLibA_33159" 2 8 6 10 2 2
"HGLibA_33160" 0 2 0 0 0 0
"HGLibA_33161" 13 20 0 0 0 0
"HGLibA_33162" 0 0 15 5 0 0
"HGLibA_33163" 4 9 2 8 0 0
"HGLibA_33164" 0 10 0 0 0 0
"HGLibA_33165" 2 16 0 2 3 2
"HGLibA_33166" 0 1 0 2 1 4
"HGLibA_33167" 0 0 0 0 0 0
"HGLibA_33168" 4 15 2 0 0 0
"HGLibA_33169" 0 0 0 0 0 0
"HGLibA_33170" 0 0 0 0 0 0
"HGLibA_33171" 7 0 0 5 2 2
"HGLibA_33172" 0 0 0 0 0 0
"HGLibA_33173" 0 1 0 0 0 0
"HGLibA_33174" 0 0 0 0 0 0
"HGLibA_33175" 9 6 0 0 0 0
"HGLibA_33176" 0 1 87 71 0 0
"HGLibA_33177" 3 0 0 1 0 0
"HGLibA_33178" 0 7 0 0 0 0
"HGLibA_33179" 0 0 0 0 0 0
"HGLibA_33180" 1 2 0 0 0 0
"HGLibA_33181" 2 3 1 2 2 1
"HGLibA_33182" 0 0 0 0 0 0
"HGLibA_33183" 0 4 0 0 0 0
"HGLibA_33184" 1 10 12 18 0 0
"HGLibA_33185" 0 0 0 0 0 0
"HGLibA_33186" 1 0 0 0 0 0
"HGLibA_33187" 8 0 0 0 0 0
"HGLibA_33188" 0 5 1 0 0 0
"HGLibA_33189" 1 2 0 0 0 0
"HGLibA_33190" 9 13 1 2 0 1
"HGLibA_33191" 1 2 0 0 0 0
"HGLibA_33192" 0 3 0 0 0 0
"HGLibA_33193" 15 4 2 0 1 1
"HGLibA_33194" 1 2 0 0 0 0
"HGLibA_33195" 0 0 0 0 0 0
"HGLibA_33196" 2 1 0 0 0 0
"HGLibA_33197" 0 0 2 0 0 0
"HGLibA_33198" 0 0 0 0 0 0
"HGLibA_33199" 0 14 0 0 0 0
"HGLibA_33200" 0 16 0 0 0 1
"HGLibA_33201" 0 2 0 0 0 0
"HGLibA_33202" 0 0 2 5 2 5
"HGLibA_33203" 8 3 0 0 0 0
"HGLibA_33204" 4 3 0 0 0 0
"HGLibA_33205" 0 1 0 0 0 0
"HGLibA_33206" 12 4 0 0 0 0
"HGLibA_33207" 1 0 1 0 0 1
"HGLibA_33208" 6 0 0 0 0 2
"HGLibA_33209" 0 3 0 0 0 0
"HGLibA_33210" 1 2 0 0 0 0
"HGLibA_33211" 0 4 1 1 3 0
"HGLibA_33212" 0 0 0 0 0 0
"HGLibA_33213" 9 0 0 1 0 2
"HGLibA_33214" 4 1 1 1 1 0
"HGLibA_33215" 0 0 21 6 0 1
"HGLibA_33216" 0 1 0 0 0 2
"HGLibA_33217" 0 0 0 2 0 0
"HGLibA_33218" 0 4 0 0 0 0
"HGLibA_33219" 22 3 0 0 0 0
"HGLibA_33220" 0 4 0 0 0 0
"HGLibA_33221" 0 0 8 7 0 0
"HGLibA_33222" 2 0 0 0 0 0
"HGLibA_33223" 0 2 0 0 0 0
"HGLibA_33224" 1 0 0 0 1 0
"HGLibA_33225" 23 4 0 0 0 0
"HGLibA_33226" 0 0 0 0 0 0
"HGLibA_33227" 0 1 0 0 0 0
"HGLibA_33228" 0 1 0 1 0 0
"HGLibA_33229" 0 0 0 0 0 0
"HGLibA_33230" 0 4 0 0 0 0
"HGLibA_33231" 4 5 0 0 0 0
"HGLibA_33232" 0 5 0 0 1 1
"HGLibA_33233" 1 5 0 0 0 0
"HGLibA_33234" 0 0 0 0 0 0
"HGLibA_33235" 6 0 0 3 1 0
"HGLibA_33236" 1 17 0 0 0 0
"HGLibA_33237" 0 1 0 2 12 7
"HGLibA_33238" 0 0 0 0 0 0
"HGLibA_33239" 3 1 4 11 0 0
"HGLibA_33240" 9 0 5 6 0 0
"HGLibA_33241" 2 35 0 0 0 1
"HGLibA_33242" 0 2 0 0 0 0
"HGLibA_33243" 0 0 0 0 0 0
"HGLibA_33244" 19 0 0 0 0 0
"HGLibA_33245" 2 0 0 0 0 0
"HGLibA_33246" 0 2 0 3 2 1
"HGLibA_33247" 36 0 0 0 0 0
"HGLibA_33248" 0 0 22 25 1 0
"HGLibA_33249" 5 0 0 1 0 0
"HGLibA_33250" 0 4 0 0 0 0
"HGLibA_33251" 0 5 10 9 4 1
"HGLibA_33252" 0 1 0 0 0 0
"HGLibA_33253" 0 0 0 0 0 0
"HGLibA_33254" 0 7 0 2 2 1
"HGLibA_33255" 0 0 0 0 0 0
"HGLibA_33256" 4 0 0 1 0 3
"HGLibA_33257" 0 0 1 0 0 0
"HGLibA_33258" 1 0 0 0 0 0
"HGLibA_33259" 0 0 0 0 0 0
"HGLibA_33260" 1 0 0 0 0 0
"HGLibA_33261" 0 12 0 0 0 0
"HGLibA_33262" 0 0 0 0 0 0
"HGLibA_33263" 0 0 0 0 0 0
"HGLibA_33264" 0 2 51 45 8 7
"HGLibA_33265" 1 0 0 0 0 0
"HGLibA_33266" 0 0 0 1 1 4
"HGLibA_33267" 0 0 0 0 0 0
"HGLibA_33268" 0 0 0 0 0 0
"HGLibA_33269" 5 0 51 45 0 1
"HGLibA_33270" 0 0 0 0 0 0
"HGLibA_33271" 2 12 0 0 0 0
"HGLibA_33272" 2 0 0 0 0 0
"HGLibA_33273" 0 2 1 0 0 1
"HGLibA_33274" 0 6 0 0 0 0
"HGLibA_33275" 27 3 0 0 0 0
"HGLibA_33276" 0 0 0 0 0 0
"HGLibA_33277" 1 13 0 0 0 0
"HGLibA_33278" 3 10 0 0 0 0
"HGLibA_33279" 8 1 0 0 28 17
"HGLibA_33280" 0 0 0 0 0 0
"HGLibA_33281" 0 0 2 0 0 0
"HGLibA_33282" 1 0 0 0 0 0
"HGLibA_33283" 2 17 0 1 0 0
"HGLibA_33284" 0 0 0 0 0 0
"HGLibA_33285" 0 0 0 0 0 0
"HGLibA_33286" 0 2 0 0 1 0
"HGLibA_33287" 0 0 0 0 0 1
"HGLibA_33288" 2 3 0 0 0 0
"HGLibA_33289" 1 9 0 1 1 1
"HGLibA_33290" 0 0 0 0 0 0
"HGLibA_33291" 4 1 0 0 0 0
"HGLibA_33292" 5 1 0 0 0 0
"HGLibA_33293" 3 2 0 8 1 0
"HGLibA_33294" 0 0 0 0 0 0
"HGLibA_33295" 1 27 0 0 0 0
"HGLibA_33296" 0 0 0 1 0 0
"HGLibA_33297" 0 0 0 0 0 0
"HGLibA_33298" 4 0 65 39 0 0
"HGLibA_33299" 5 0 0 0 6 1
"HGLibA_33300" 1 0 0 0 0 0
"HGLibA_33301" 0 0 0 0 0 0
"HGLibA_33302" 0 0 0 0 0 0
"HGLibA_33303" 1 0 0 0 0 0
"HGLibA_33304" 0 6 0 0 0 0
"HGLibA_33305" 2 2 0 0 0 0
"HGLibA_33306" 0 1 4 23 6 0
"HGLibA_33307" 5 0 1 0 3 1
"HGLibA_33308" 0 0 0 0 0 0
"HGLibA_33309" 0 4 1 4 0 1
"HGLibA_33310" 0 0 0 0 0 0
"HGLibA_33311" 0 1 0 0 0 0
"HGLibA_33312" 0 4 6 5 4 12
"HGLibA_33313" 0 5 3 1 0 0
"HGLibA_33314" 0 0 0 0 0 0
"HGLibA_33315" 0 0 0 0 0 0
"HGLibA_33316" 0 1 0 0 1 1
"HGLibA_33317" 2 9 0 2 0 1
"HGLibA_33318" 0 3 0 0 0 0
"HGLibA_33319" 0 2 0 0 0 0
"HGLibA_33320" 0 0 0 0 0 2
"HGLibA_33321" 0 5 1 19 2 0
"HGLibA_33322" 0 0 0 0 0 0
"HGLibA_33323" 0 2 0 0 2 0
"HGLibA_33324" 1 11 0 2 0 0
"HGLibA_33325" 0 0 95 117 7 13
"HGLibA_33326" 0 0 0 1 4 1
"HGLibA_33327" 4 0 0 0 0 0
"HGLibA_33328" 0 1 0 0 0 0
"HGLibA_33329" 0 0 0 0 1 0
"HGLibA_33330" 10 0 0 0 0 0
"HGLibA_33331" 12 1 0 0 0 0
"HGLibA_33332" 0 0 0 0 0 1
"HGLibA_33333" 0 0 0 0 0 0
"HGLibA_33334" 1 4 0 0 0 0
"HGLibA_33335" 0 5 0 3 0 0
"HGLibA_33336" 0 0 0 0 0 1
"HGLibA_33337" 0 1 0 0 0 0
"HGLibA_33338" 0 5 0 0 0 0
"HGLibA_33339" 1 0 0 1 1 0
"HGLibA_33340" 1 35 0 0 0 0
"HGLibA_33341" 0 0 0 0 0 0
"HGLibA_33342" 5 0 0 7 2 1
"HGLibA_33343" 0 3 0 0 0 0
"HGLibA_33344" 8 2 0 3 2 0
"HGLibA_33345" 6 0 0 0 0 0
"HGLibA_33346" 1 3 0 0 0 0
"HGLibA_33347" 5 1 0 0 0 0
"HGLibA_33348" 0 2 0 0 0 0
"HGLibA_33349" 5 0 0 0 0 0
"HGLibA_33350" 0 2 0 0 0 0
"HGLibA_33351" 0 0 0 0 0 0
"HGLibA_33352" 0 0 0 0 0 0
"HGLibA_33353" 0 0 0 0 0 0
"HGLibA_33354" 6 0 0 0 0 0
"HGLibA_33355" 5 0 1 6 1 0
"HGLibA_33356" 12 6 12 9 0 1
"HGLibA_33357" 0 5 3 3 0 1
"HGLibA_33358" 0 0 0 0 0 0
"HGLibA_33359" 0 3 0 0 0 0
"HGLibA_33360" 0 0 0 0 0 0
"HGLibA_33361" 0 4 0 0 0 0
"HGLibA_33362" 13 11 0 0 0 0
"HGLibA_33363" 7 7 0 1 2 0
"HGLibA_33364" 1 1 6 4 0 0
"HGLibA_33365" 0 0 0 0 0 1
"HGLibA_33366" 0 0 0 0 0 0
"HGLibA_33367" 0 7 0 0 0 0
"HGLibA_33368" 0 0 0 0 0 0
"HGLibA_33369" 3 2 0 2 0 5
"HGLibA_33370" 9 1 0 0 0 0
"HGLibA_33371" 0 0 0 0 0 0
"HGLibA_33372" 0 0 0 0 0 1
"HGLibA_33373" 0 2 0 0 0 0
"HGLibA_33374" 0 0 0 0 0 0
"HGLibA_33375" 0 1 0 0 7 5
"HGLibA_33376" 5 0 0 0 0 0
"HGLibA_33377" 0 1 0 0 0 0
"HGLibA_33378" 5 3 0 1 0 0
"HGLibA_33379" 0 0 0 0 1 0
"HGLibA_33380" 3 0 0 0 0 0
"HGLibA_33381" 2 16 0 0 561 628
"HGLibA_33382" 2 3 0 2 0 1
"HGLibA_33383" 1 7 0 0 0 0
"HGLibA_33384" 1 1 0 0 0 0
"HGLibA_33385" 5 1 0 0 0 0
"HGLibA_33386" 0 4 0 0 0 0
"HGLibA_33387" 2 8 0 0 0 0
"HGLibA_33388" 1 4 0 0 0 0
"HGLibA_33389" 2 0 0 0 0 0
"HGLibA_33390" 5 0 0 1 0 3
"HGLibA_33391" 0 6 0 0 0 0
"HGLibA_33392" 0 1 0 0 0 0
"HGLibA_33393" 0 1 0 0 0 0
"HGLibA_33394" 0 3 0 0 0 0
"HGLibA_33395" 4 0 0 0 0 0
"HGLibA_33396" 0 0 0 0 0 0
"HGLibA_33397" 2 3 0 0 0 0
"HGLibA_33398" 0 0 0 0 0 0
"HGLibA_33399" 3 0 0 0 0 1
"HGLibA_33400" 3 17 39 33 4 4
"HGLibA_33401" 0 0 0 0 0 0
"HGLibA_33402" 0 1 0 0 0 0
"HGLibA_33403" 6 0 0 0 0 0
"HGLibA_33404" 2 0 0 0 0 0
"HGLibA_33405" 6 2 0 0 0 0
"HGLibA_33406" 24 12 0 0 0 0
"HGLibA_33407" 4 0 0 0 0 0
"HGLibA_33408" 0 7 0 0 0 0
"HGLibA_33409" 3 0 35 12 5 2
"HGLibA_33410" 0 0 0 0 0 0
"HGLibA_33411" 0 1 0 4 7 4
"HGLibA_33412" 5 0 0 0 0 0
"HGLibA_33413" 1 19 0 0 2 1
"HGLibA_33414" 1 0 0 0 0 0
"HGLibA_33415" 4 2 0 0 0 0
"HGLibA_33416" 0 4 0 0 0 0
"HGLibA_33417" 0 2 0 0 0 0
"HGLibA_33418" 18 16 2 0 2 2
"HGLibA_33419" 2 2 0 0 0 0
"HGLibA_33420" 5 0 0 0 0 0
"HGLibA_33421" 0 5 0 0 5 2
"HGLibA_33422" 1 0 0 0 0 0
"HGLibA_33423" 5 7 0 0 63 55
"HGLibA_33424" 0 0 0 0 0 0
"HGLibA_33425" 0 0 0 0 0 0
"HGLibA_33426" 0 0 0 0 0 0
"HGLibA_33427" 0 0 0 0 0 0
"HGLibA_33428" 0 0 0 0 0 0
"HGLibA_33429" 0 0 0 0 0 0
"HGLibA_33430" 0 1 2 4 3 5
"HGLibA_33431" 4 2 0 0 0 0
"HGLibA_33432" 0 1 0 0 0 0
"HGLibA_33433" 1 0 0 0 0 0
"HGLibA_33434" 5 0 1 2 0 0
"HGLibA_33435" 0 0 0 0 0 0
"HGLibA_33436" 21 0 0 0 0 0
"HGLibA_33437" 10 5 0 0 0 0
"HGLibA_33438" 0 1 0 0 0 0
"HGLibA_33439" 0 2 5 5 0 0
"HGLibA_33440" 0 3 0 0 0 0
"HGLibA_33441" 0 1 0 0 0 0
"HGLibA_33442" 0 0 0 0 0 0
"HGLibA_33443" 0 1 0 0 0 0
"HGLibA_33444" 27 5 0 0 1 0
"HGLibA_33445" 28 5 0 0 0 0
"HGLibA_33446" 0 0 0 0 0 0
"HGLibA_33447" 3 16 0 0 0 0
"HGLibA_33448" 0 3 0 0 0 0
"HGLibA_33449" 0 0 0 0 0 0
"HGLibA_33450" 2 0 0 0 0 0
"HGLibA_33451" 7 3 0 0 0 0
"HGLibA_33452" 0 14 0 0 0 2
"HGLibA_33453" 18 0 0 0 0 0
"HGLibA_33454" 2 3 1 0 0 0
"HGLibA_33455" 0 1 0 0 0 0
"HGLibA_33456" 21 4 0 1 1 0
"HGLibA_33457" 0 0 1 2 0 0
"HGLibA_33458" 1 2 0 0 0 0
"HGLibA_33459" 0 0 0 0 1 0
"HGLibA_33460" 1 3 0 0 0 0
"HGLibA_33461" 0 0 1 3 2 4
"HGLibA_33462" 0 10 0 0 0 0
"HGLibA_33463" 4 0 0 0 0 0
